,traffic_density,los_freq,ready_latency,query_latency,query_timed_out,sa_correct,interbeat_interval,rx,ry,rz,eyeblink,positive,neutral,negative,los_severity,CLCD,Words_sec
0,3,0,5.4,2.81,0,1.0,832.0,0.298,0.166,-0.089,0.253910882,0.0,0.144999996,0.855999947,0.0,1,1.714285714
1,3,0,5.4,2.81,0,1.0,820.0,0.291,0.179,-0.128,0.219376258,0.0,0.234999999,0.765000045,0.0,0,2.653061224
2,3,0,5.4,2.81,0,1.0,777.0,0.3,0.15,-0.106,0.209974794,0.001,0.129999995,0.868999958,0.0,0,2.352941176
3,3,0,5.4,2.81,0,1.0,792.0,0.317,0.309,-0.162,0.206429017,0.002,0.481999993,0.516000032,0.0,1,3.846153846
4,3,0,5.4,2.81,0,1.0,777.0,0.304,0.202,-0.162,0.20919404,0.0,0.097000003,0.902999938,0.0,0,3.4
5,3,0,5.4,2.81,0,1.0,789.0,0.25,0.271,-0.182,0.26242496,0.007,0.469999999,0.522000015,0.0,0,3.75
6,3,0,5.4,2.81,0,1.0,757.0,0.074,0.276,-0.181,0.334393624,0.0,0.112000003,0.888000011,0.0,0,6.0
7,3,0,5.4,2.81,0,1.0,789.0,0.145,0.29,-0.217,0.289173278,0.002,0.035,0.963,0.0,0,5.625
8,3,0,5.4,2.81,0,1.0,796.0,0.273,0.206,-0.128,0.250577003,0.0,0.043000001,0.95600003,0.0,0,2.549019608
9,3,0,5.4,2.81,0,1.0,765.0,0.173,0.139,-0.063,0.254067175,0.007,0.400000006,0.593999982,0.0,0,4.736842105
10,3,0,5.4,2.81,0,1.0,816.0,0.246,0.174,-0.094,0.251931451,0.0,0.005,0.995000005,0.0,0,1.780821918
11,3,0,5.4,2.81,0,1.0,777.0,0.26,0.143,-0.095,0.214920394,0.005,0.122000001,0.872999966,0.0,0,3.055555556
12,2,0,5.4,2.81,0,1.0,789.0,0.074,0.186,0.295,0.236533593,0.067000002,0.282000005,0.649999976,0.0,0,3.333333333
13,2,0,2.1,6.61,0,2.0,781.0,0.172,0.595,-0.065,0.386471327,0.006,0.138999999,0.854999959,0.0,0,2.375
14,2,0,2.1,6.61,0,2.0,789.0,0.316,0.251,-0.143,0.247980256,0.001,0.763000011,0.236000001,0.0,0,2.222222222
15,2,0,2.1,6.61,0,2.0,781.0,0.254,0.231,-0.14,0.301143615,0.0,0.333999991,0.664999962,0.0,0,2.5
16,2,0,2.1,6.61,0,2.0,789.0,0.061,-0.104,0.03,0.233906117,0.005,0.300000012,0.693999946,0.0,0,1.954022989
17,2,0,2.1,6.61,0,2.0,761.0,0.263,0.219,-0.066,0.255946274,0.0,0.123999998,0.874000013,0.0,0,2.631578947
18,2,0,2.1,6.61,0,2.0,750.0,0.097,0.344,-0.152,0.300108633,0.001,0.193000004,0.805999994,0.0,1,0.508474576
19,2,0,2.1,6.61,0,2.0,785.0,0.298,0.371,-0.167,0.26115234,0.0,0.182999998,0.816999972,0.0,1,2.641509434
20,3,0,2.1,6.61,0,2.0,726.0,0.266,0.141,-0.132,0.205192143,0.001,0.404000014,0.595999956,0.0,0,4.444444444
21,3,0,2.1,6.61,0,2.0,878.0,0.269,0.146,-0.05,0.231338559,0.0,0.082000002,0.917999983,0.0,0,1.428571429
22,3,0,2.1,6.61,0,2.0,785.0,0.313,0.231,-0.124,0.332574859,0.0,0.338,0.662,0.0,0,3.461538462
23,3,0,2.1,6.61,0,2.0,710.0,0.28,0.22,-0.149,0.213653461,0.0,0.064999998,0.934000015,0.0,1,3.076923077
24,4,0,2.1,6.61,0,2.0,777.0,0.288,0.228,-0.138,0.23092123,0.0,0.050999999,0.948000014,0.0,1,2.857142857
25,4,0,2.1,6.61,0,2.0,734.0,0.302,0.203,-0.152,0.23780102,0.0,0.155000001,0.845000029,0.0,0,2.784810127
26,4,0,2.1,6.61,0,2.0,753.0,0.283,0.226,-0.134,0.312437931,0.0,0.307999998,0.692000031,0.0,0,3.088235294
27,4,0,2.1,6.61,0,2.0,734.0,0.278,0.228,-0.156,0.229161577,0.0,0.092,0.907000005,0.0,0,2.432432432
28,4,0,2.1,6.61,0,2.0,722.0,0.254,0.206,-0.191,0.294092306,0.0,0.384000003,0.616000056,0.0,0,5.555555556
29,4,0,2.1,6.61,0,2.0,863.0,0.294,0.324,-0.176,0.237984017,0.009,0.433999985,0.556999981,0.0,0,3.225806452
30,3,0,2.1,6.61,0,2.0,843.0,0.169,0.25,-0.06,0.243979893,0.0,0.153999999,0.845000029,0.0,0,3.666666667
31,3,0,2.1,6.61,0,2.0,824.0,0.294,0.233,-0.142,0.305216544,0.0,0.486999989,0.513000011,0.0,0,2.833333333
32,4,0,2.73,3.94,0,1.0,820.0,0.002,0.239,-0.066,0.280277751,0.0,0.228,0.771999955,0.0,0,2.333333333
33,4,0,2.73,3.94,0,1.0,839.0,0.241,0.239,-0.09,0.261020197,0.0,0.172999993,0.826000094,0.0,0,2.25
34,4,0,2.73,3.94,0,1.0,750.0,0.254,0.062,-0.043,0.24549119,0.001,0.630999982,0.368000031,0.0,0,2.096774194
35,4,0,2.73,3.94,0,1.0,710.0,0.411,0.599,-0.357,0.312765248,0.001,0.118000001,0.882000029,0.0,0,3.75
36,4,0,2.73,3.94,0,1.0,769.0,0.136,0.298,-0.188,0.252460312,0.0,0.199000001,0.800999999,0.0,0,2.837837838
37,4,0,2.73,3.94,0,1.0,710.0,0.261,0.17,-0.105,0.263025309,0.0,0.039000001,0.961000025,0.0,0,3.076923077
38,4,0,2.73,3.94,0,1.0,824.0,0.237,0.139,-0.158,0.157829874,0.001,0.104999997,0.893000007,0.0,0,0.760869565
39,4,0,2.73,3.94,0,1.0,742.0,0.305,0.239,-0.158,0.267314783,0.0,0.082000002,0.917999983,0.0,0,2.195121951
40,4,0,2.73,3.94,0,1.0,714.0,0.308,0.363,-0.205,0.220792875,0.008,0.100000001,0.890999973,0.0,0,2.43902439
41,4,0,2.73,3.94,0,1.0,714.0,0.292,0.437,-0.204,0.28904061,0.0,0.181999996,0.817999959,0.0,0,2.711864407
42,4,0,2.73,3.94,0,1.0,722.0,0.265,0.206,-0.186,0.260706934,0.0,0.181999996,0.816999972,0.0,0,3.333333333
43,4,0,2.73,3.94,0,1.0,773.0,0.285,0.261,-0.137,0.300455448,0.0,0.708999991,0.289999992,0.0,0,2.666666667
44,4,0,2.73,3.94,0,1.0,742.0,0.216,0.23,-0.112,0.281713931,0.0,0.217999995,0.782999933,0.0,0,2.368421053
45,4,0,2.73,3.94,0,1.0,738.0,0.27,0.217,-0.13,0.314622433,0.0,0.030999999,0.968999982,0.0,0,2.352941176
46,4,0,2.73,3.94,0,1.0,738.0,0.029,0.236,-0.078,0.263769504,0.0,0.456999987,0.542999983,0.0,0,3.4375
47,4,0,2.73,3.94,0,1.0,734.0,0.241,0.226,-0.104,0.243905463,0.0,0.170000002,0.829000056,0.0,0,2.830188679
48,5,0,2.73,3.94,0,1.0,777.0,0.287,0.232,-0.131,0.300650222,0.0,0.352999985,0.645999968,0.0,0,5.609756098
49,6,0,2.73,3.94,0,1.0,804.0,0.234,0.16,-0.109,0.255814953,0.0,0.059,0.939999998,0.0,0,2.727272727
50,6,0,2.73,3.94,0,1.0,757.0,0.252,0.22,-0.118,0.255024934,0.001,0.458000004,0.541000009,0.0,0,3.448275862
51,6,0,2.73,3.94,0,1.0,726.0,0.244,0.312,-0.147,0.285415791,0.0,0.035,0.963999987,0.0,0,3.617021277
52,6,0,2.73,3.94,0,1.0,855.0,0.242,-0.022,-0.058,0.232105769,0.005,0.238999993,0.754999995,0.0,0,1.940298507
53,6,0,2.73,3.94,0,1.0,796.0,0.237,0.13,-0.068,0.261568262,0.0,0.152999997,0.84799999,0.0,0,2.882882883
54,6,0,2.73,3.94,0,1.0,699.0,0.276,0.238,-0.17,0.25707034,0.0,0.552999973,0.44599998,0.0,0,4.146341463
55,6,0,2.73,3.94,0,1.0,726.0,0.331,0.33,-0.238,0.259005937,0.0,0.545000017,0.454999954,0.0,0,2.24137931
56,6,0,2.73,3.94,0,1.0,761.0,0.074,0.24,-0.168,0.244350355,0.0,0.229000002,0.769999981,0.0,0,3.026315789
57,6,0,2.73,3.94,0,1.0,714.0,0.298,0.332,-0.204,0.338021725,0.0,0.354999989,0.644999981,0.0,0,2.794117647
58,6,0,2.73,3.94,0,1.0,792.0,0.325,0.235,-0.15,0.264195477,0.0,0.207000002,0.792999983,0.0,0,6.315789474
59,6,0,2.73,3.94,0,1.0,777.0,0.34,0.366,-0.234,0.276556314,0.0,0.319999993,0.679999948,0.0,0,4.5
60,6,0,2.73,3.94,0,1.0,703.0,0.301,0.273,-0.227,0.25846376,0.004,0.257999986,0.738000035,0.0,1,2.244897959
61,6,0,2.73,3.94,0,1.0,710.0,0.342,-0.002,0.331,0.238847867,0.022,0.591000021,0.385999978,0.0,1,2.777777778
62,6,0,1.73,3.6,0,1.0,796.0,0.03,0.193,-0.054,0.251394934,0.0,0.157000005,0.843999982,0.0,0,3.068181818
63,6,0,1.73,3.6,0,1.0,761.0,0.251,0.156,-0.135,0.229132941,0.001,0.550000012,0.448000014,0.0,0,2.083333333
64,6,0,1.73,3.6,0,1.0,742.0,0.305,0.233,-0.089,0.266107972,0.0,0.194999993,0.80400002,0.0,0,2.745098039
65,6,0,1.73,3.6,0,1.0,851.0,0.258,0.169,-0.092,0.281245629,0.0,0.196999997,0.801999986,0.0,0,2.884615385
66,6,0,1.73,3.6,0,1.0,789.0,0.322,0.323,-0.229,0.247075859,0.0,0.27700001,0.722000003,0.0,0,3.111111111
67,6,0,1.73,3.6,0,1.0,820.0,0.28,0.328,-0.16,0.218515407,0.014,0.354000002,0.632000029,0.0,0,1.698113208
68,6,0,1.73,3.6,0,1.0,804.0,0.256,0.233,-0.121,0.311901627,0.0,0.140000001,0.858999968,0.0,0,2.558139535
69,6,0,1.73,3.6,0,1.0,722.0,0.29,0.22,-0.148,0.224215877,0.0,0.171000004,0.827999949,0.0,0,2.959183673
70,6,0,1.73,3.6,0,1.0,781.0,0.246,0.16,-0.119,0.268209033,0.0,0.312000006,0.688000023,0.0,0,3.333333333
71,6,0,1.73,3.6,0,1.0,757.0,0.292,0.214,-0.169,0.204840668,0.0,0.412,0.588,0.0,0,2.156862745
72,5,0,1.73,3.6,0,1.0,757.0,0.299,0.237,-0.189,0.326688389,0.0,0.115999997,0.884000003,0.0,0,2.903225806
73,4,0,1.73,3.6,0,1.0,718.0,0.168,0.21,-0.117,0.238304575,0.0,0.479999989,0.520999968,0.0,0,2.051282051
74,4,0,1.73,3.6,0,1.0,726.0,0.243,0.161,-0.135,0.284683916,0.0,0.409999996,0.588999987,0.0,0,2.033898305
75,5,0,1.73,3.6,0,1.0,753.0,0.24,0.158,-0.205,0.257639891,0.001,0.533999979,0.466000021,0.0,0,2.452830189
76,5,0,1.73,3.6,0,1.0,750.0,0.227,0.188,-0.146,0.252131351,0.001,0.086999997,0.912999988,0.0,0,3.191489362
77,5,0,1.73,3.6,0,1.0,742.0,0.321,0.26,-0.159,0.248237743,0.0,0.043000001,0.957000017,0.0,0,4.186046512
78,5,0,1.73,3.6,0,1.0,761.0,0.282,0.223,-0.159,0.229799324,0.0,0.388999999,0.611000001,0.0,0,2.051282051
79,5,0,1.73,3.6,0,1.0,746.0,0.352,0.281,-0.175,0.252817852,0.001,0.564999998,0.432999998,0.0,0,5.142857143
80,5,0,1.73,3.6,0,1.0,847.0,0.25,0.224,-0.14,0.260113848,0.0,0.021,0.979000032,0.0,0,3.80952381
81,4,0,1.73,3.6,0,1.0,781.0,0.125,-0.022,0.332,0.244659097,0.001,0.284999996,0.713999987,0.0,0,3.214285714
82,4,0,1.73,3.6,0,1.0,757.0,0.267,0.194,-0.153,0.29174471,0.0,0.579999983,0.420000017,0.0,0,2.53164557
83,4,0,1.73,3.6,0,1.0,859.0,0.497,0.372,-0.236,0.28533465,0.001,0.041999999,0.955999911,0.0,0,2.380952381
84,4,0,1.73,3.6,0,1.0,746.0,0.33,0.32,-0.184,0.252200851,0.0,0.40200001,0.597000003,0.0,0,3.103448276
85,4,0,1.73,3.6,0,1.0,781.0,0.188,0.239,-0.111,0.273180114,0.0,0.412999988,0.587000012,0.0,0,3.389830508
86,4,0,1.73,3.6,0,1.0,769.0,0.231,0.21,-0.125,0.275809498,0.001,0.079999998,0.919999957,0.0,0,3.703703704
87,4,0,1.73,3.6,0,1.0,769.0,0.318,0.281,-0.183,0.315995256,0.001,0.174999997,0.824000001,0.0,0,2.307692308
88,4,0,1.73,3.6,0,1.0,824.0,0.206,0.23,-0.1,0.23145888,0.0,0.150000006,0.849999964,0.0,0,2.857142857
89,4,0,1.73,3.6,0,1.0,855.0,0.247,0.243,-0.075,0.255372218,0.009,0.725000024,0.265999973,0.0,0,3.965517241
90,3,0,1.73,3.6,0,1.0,726.0,0.256,0.252,-0.129,0.33204489,0.0,0.201000005,0.799999952,0.0,0,3.928571429
91,4,0,2.44,9.04,0,1.0,812.0,0.267,0.216,-0.107,0.274404888,0.0,0.27700001,0.72300005,0.0,0,3.103448276
92,5,0,2.44,9.04,0,1.0,890.0,0.321,0.328,-0.213,0.246940336,0.035,0.370000005,0.595000029,0.0,0,4.545454545
93,5,0,2.44,9.04,0,1.0,757.0,0.274,0.224,-0.119,0.245843638,0.004,0.661000013,0.336000025,0.0,0,2.5
94,5,0,2.44,9.04,0,1.0,839.0,0.206,0.149,-0.049,0.245302144,0.001,0.419999987,0.578000009,0.0,0,2.265625
95,5,0,2.44,9.04,0,1.0,757.0,0.088,0.056,0.102,0.244666232,0.005,0.050999999,0.943999946,0.0,0,7.0
96,4,0,2.44,9.04,0,1.0,769.0,0.263,0.187,-0.111,0.277698568,0.002,0.788999975,0.209999993,0.0,0,2.577319588
97,4,0,2.44,9.04,0,1.0,714.0,0.234,0.187,-0.102,0.243277001,0.0,0.389999986,0.611000001,0.0,0,3.571428571
98,4,0,2.44,9.04,0,1.0,824.0,0.204,0.208,-0.131,0.266507225,0.001,0.365999997,0.63499999,0.0,0,2.5
99,4,0,2.44,9.04,0,1.0,789.0,0.047,0.147,-0.046,0.278839372,0.0,0.797999978,0.201999992,0.0,0,3.5
100,4,0,2.44,9.04,0,1.0,742.0,0.239,0.055,0.061,0.251920177,0.007,0.693000019,0.300000012,0.0,0,3.333333333
101,4,0,2.44,9.04,0,1.0,781.0,0.246,0.094,-0.085,0.254965806,0.0,0.333000004,0.666999996,0.0,0,3.888888889
102,4,0,2.44,9.04,0,1.0,746.0,0.239,-0.103,0.167,0.232808025,0.221000001,0.402999997,0.375999987,0.0,0,3.363636364
103,4,0,2.44,9.04,0,1.0,851.0,0.051,0.104,0.001,0.242469949,0.0,0.057999998,0.941999972,0.0,0,2.886597938
104,4,0,2.44,9.04,0,1.0,820.0,0.242,0.125,-0.089,0.233713485,0.004,0.875,0.120000005,0.0,0,2.926829268
105,3,0,2.44,9.04,0,1.0,742.0,0.216,-0.003,-0.005,0.211446867,0.0,0.131999999,0.868000031,0.0,0,2.31884058
106,3,0,2.44,9.04,0,1.0,773.0,0.256,0.216,-0.14,0.255149367,0.0,0.426999986,0.573000014,0.0,0,3.928571429
107,3,0,2.44,9.04,0,1.0,750.0,0.266,0.211,-0.155,0.310151402,0.0,0.158999994,0.840000033,0.0,0,5.172413793
