iter	Accuracy	Logloss
0	0.7990033223	0.6466927987
1	0.8098006645	0.5902771705
2	0.8203211517	0.5514848449
3	0.8297342193	0.5157581548
4	0.8264119601	0.4876114564
5	0.8283499446	0.4688096151
6	0.8311184939	0.4547182593
7	0.8319490587	0.4400220366
8	0.8349944629	0.4243498804
9	0.8372093023	0.4119150753
10	0.8369324474	0.4024019721
11	0.8391472868	0.3902552664
12	0.8419158361	0.3847609906
13	0.8427464009	0.377568864
14	0.8430232558	0.3723747073
15	0.8430232558	0.3692275916
16	0.8438538206	0.3636538621
17	0.8433001107	0.3603910001
18	0.8477297896	0.3574059567
19	0.849944629	0.353153712
20	0.8507751938	0.3498788609
21	0.8504983389	0.3453411127
22	0.8513289037	0.3426625703
23	0.8529900332	0.3394569224
24	0.8552048726	0.3365344881
25	0.8607419712	0.3324890021
26	0.861572536	0.3302697304
27	0.8651716501	0.3279421915
28	0.8651716501	0.3256434534
29	0.8682170543	0.3234895989
30	0.8679401993	0.3214691493
31	0.872923588	0.3174762056
32	0.8715393134	0.3159894537
33	0.8726467331	0.3132191186
34	0.8743078627	0.312316035
35	0.8773532669	0.3102351577
36	0.8776301218	0.3089736381
37	0.8790143965	0.3077945202
38	0.8787375415	0.3063536755
39	0.8815060908	0.3046781312
40	0.8826135105	0.303093567
41	0.8828903654	0.3013412766
42	0.8851052049	0.2989780411
43	0.8856589147	0.2966311792
44	0.8862126246	0.294805801
45	0.8862126246	0.2927805927
46	0.8864894795	0.2919532141
47	0.8870431894	0.290086983
48	0.8867663344	0.288796686
49	0.8870431894	0.2883024234
50	0.8862126246	0.2871036938
51	0.8870431894	0.285381683
52	0.8864894795	0.2850028378
53	0.8873200443	0.2842721735
54	0.888427464	0.2825992288
55	0.8889811739	0.2815442952
56	0.8887043189	0.2798077368
57	0.8892580288	0.2783570424
58	0.8900885936	0.2776174114
59	0.8920265781	0.2765083711
60	0.8931339978	0.2753969984
61	0.8928571429	0.2741957444
62	0.8925802879	0.2728769345
63	0.8928571429	0.2722707159
64	0.8925802879	0.2714018925
65	0.8925802879	0.2707812613
66	0.8945182724	0.2699659797
67	0.8945182724	0.2695053435
68	0.8959025471	0.2688320335
69	0.8953488372	0.2676635632
70	0.8967331118	0.265644907
71	0.8992248062	0.2648499805
72	0.9014396456	0.2634716098
73	0.900055371	0.2629420016
74	0.9006090808	0.2620219189
75	0.9022702104	0.261456568
76	0.9031007752	0.2602586577
77	0.9028239203	0.2594196576
78	0.90393134	0.2586248156
79	0.9042081949	0.2570662934
80	0.903654485	0.2560713273
81	0.9044850498	0.2548705968
82	0.9044850498	0.2538032183
83	0.9047619048	0.2519900702
84	0.90393134	0.2513155582
85	0.903654485	0.2502903281
86	0.90393134	0.2494501068
87	0.9044850498	0.2484308223
88	0.9050387597	0.2474393637
89	0.9055924695	0.2464257264
90	0.9061461794	0.2448704774
91	0.9066998893	0.2445193444
92	0.9064230343	0.2431218493
93	0.9072535991	0.2414110312
94	0.9072535991	0.2405111347
95	0.9080841639	0.2399527884
96	0.9086378738	0.2383011945
97	0.9091915836	0.2375697709
98	0.9097452935	0.2367370274
99	0.9094684385	0.2356682962
100	0.9102990033	0.2349056111
101	0.911683278	0.2340306589
102	0.9122369878	0.233408273
103	0.9125138427	0.2328494194
104	0.9122369878	0.2322668057
105	0.9125138427	0.2316203389
106	0.9130675526	0.2299264892
107	0.9136212625	0.2293561996
108	0.9136212625	0.2287339146
109	0.9127906977	0.2277008995
110	0.9133444075	0.226935307
111	0.9158361019	0.2254473066
112	0.9161129568	0.2247922247
113	0.9161129568	0.2243780718
114	0.9180509413	0.2225982884
115	0.919158361	0.2220159343
116	0.9199889258	0.2213637885
117	0.9208194906	0.2208938047
118	0.9210963455	0.2206147145
119	0.9219269103	0.2194432794
120	0.9219269103	0.2184744678
121	0.9216500554	0.2179099148
122	0.9219269103	0.2171575136
123	0.9219269103	0.2165619223
124	0.9227574751	0.2159589609
125	0.92303433	0.2150612259
126	0.9227574751	0.2140207304
127	0.9227574751	0.2127765117
128	0.9224806202	0.2121748214
129	0.9233111849	0.2106972409
130	0.9238648948	0.2099653689
131	0.9241417497	0.2085871129
132	0.9246954596	0.207668503
133	0.9266334441	0.2066997577
134	0.9266334441	0.2061814699
135	0.926910299	0.2054622357
136	0.9266334441	0.2048280051
137	0.926910299	0.2043930818
138	0.926910299	0.2039192611
139	0.9280177187	0.2033250701
140	0.9291251384	0.202417505
141	0.9296788483	0.2015151971
142	0.9294019934	0.2008694115
143	0.9296788483	0.1991849337
144	0.9305094131	0.1984551439
145	0.9313399779	0.1980021148
146	0.9313399779	0.1975009016
147	0.9316168328	0.1969041888
148	0.9321705426	0.1963080676
149	0.9335548173	0.1956614192
150	0.9335548173	0.1950647321
151	0.9335548173	0.1946888719
152	0.9354928018	0.1937044821
153	0.9352159468	0.1928804185
154	0.9357696567	0.192253041
155	0.9363233666	0.1914998123
156	0.9366002215	0.1909878015
157	0.9366002215	0.1905512235
158	0.9371539313	0.1895947167
159	0.9371539313	0.1892124637
160	0.9377076412	0.1886273479
161	0.9371539313	0.1879024508
162	0.9368770764	0.187435885
163	0.9377076412	0.1868426004
164	0.9382613511	0.1864257576
