iter	Passed	Remaining
0	2	2138
1	4	2365
2	7	2386
3	9	2392
4	11	2385
5	14	2436
6	18	2566
7	20	2585
8	23	2565
9	25	2566
10	28	2564
11	31	2581
12	33	2570
13	36	2571
14	39	2573
15	41	2533
16	43	2533
17	46	2542
18	49	2573
19	52	2565
20	55	2578
21	58	2582
22	60	2572
23	63	2581
24	66	2583
25	69	2589
26	71	2584
27	74	2598
28	77	2597
29	80	2604
30	83	2594
31	86	2613
32	89	2609
33	91	2604
34	94	2601
35	97	2601
36	100	2603
37	103	2614
38	106	2616
39	108	2610
40	111	2601
41	113	2598
42	116	2598
43	119	2597
44	122	2594
45	125	2602
46	128	2601
47	130	2597
48	133	2599
49	137	2614
50	140	2607
51	142	2604
52	145	2599
53	148	2595
54	150	2590
55	154	2597
56	158	2620
57	163	2647
58	165	2646
59	169	2662
60	173	2676
61	176	2670
62	179	2662
63	182	2673
64	185	2666
65	187	2660
66	190	2659
67	194	2660
68	196	2654
69	199	2648
70	201	2642
71	204	2636
72	207	2640
73	210	2639
74	213	2635
75	216	2629
76	218	2622
77	221	2619
78	224	2612
79	226	2608
80	229	2606
81	232	2602
82	234	2596
83	238	2599
84	241	2594
85	243	2588
86	246	2584
87	248	2580
88	251	2575
89	254	2569
90	257	2568
91	259	2563
92	263	2569
93	266	2567
94	269	2563
95	271	2559
96	274	2558
97	277	2553
98	279	2546
99	282	2542
100	284	2535
101	287	2531
102	289	2525
103	292	2522
104	295	2520
105	298	2518
106	302	2526
107	306	2530
108	311	2549
109	315	2550
110	318	2554
111	322	2559
112	327	2569
113	330	2571
114	334	2572
115	337	2571
116	341	2579
117	345	2583
118	349	2585
119	353	2593
120	359	2608
121	362	2607
122	365	2608
123	369	2609
124	373	2612
125	376	2614
126	380	2614
127	383	2615
128	387	2616
129	391	2622
130	395	2624
131	398	2622
132	402	2623
133	407	2632
134	410	2627
135	412	2621
136	415	2616
137	417	2610
138	421	2608
139	423	2604
140	426	2597
141	429	2592
142	431	2587
143	434	2583
144	437	2577
145	439	2571
146	443	2572
147	445	2567
148	448	2561
149	450	2555
150	453	2551
151	456	2546
152	459	2541
153	462	2538
154	464	2532
155	467	2527
156	470	2523
157	472	2517
158	474	2512
159	477	2506
160	480	2504
161	483	2501
162	486	2498
163	489	2493
164	491	2487
165	494	2482
166	497	2481
167	499	2475
168	502	2473
169	505	2467
170	507	2462
171	510	2457
172	512	2451
173	516	2451
174	519	2447
175	521	2443
176	524	2439
177	527	2434
178	529	2429
179	533	2428
180	535	2423
181	538	2418
182	540	2414
183	543	2410
184	545	2405
185	548	2402
186	551	2398
187	554	2394
188	557	2392
189	560	2387
190	562	2383
191	565	2379
192	568	2375
193	570	2371
194	573	2366
195	575	2362
196	578	2357
197	581	2356
198	584	2353
199	587	2348
200	589	2344
201	592	2341
202	595	2336
203	597	2332
204	602	2334
205	604	2331
206	607	2327
207	610	2323
208	612	2318
209	615	2315
210	618	2311
211	620	2307
212	623	2303
213	625	2299
214	628	2294
215	630	2289
216	633	2286
217	636	2284
218	639	2280
219	642	2276
220	644	2272
221	647	2268
222	649	2264
223	653	2264
224	657	2264
225	660	2261
226	663	2257
227	665	2253
228	668	2250
229	670	2246
230	673	2242
231	676	2238
232	678	2234
233	681	2231
234	684	2227
235	686	2223
236	689	2220
237	692	2216
238	694	2211
239	697	2209
240	700	2205
241	702	2201
242	705	2197
243	708	2193
244	710	2189
245	714	2188
246	717	2185
247	719	2182
248	722	2177
249	724	2173
250	727	2170
251	730	2167
252	732	2163
253	735	2159
254	737	2155
255	740	2151
256	742	2147
257	746	2146
258	749	2144
259	752	2141
260	754	2137
261	757	2134
262	760	2131
263	762	2126
264	765	2124
265	768	2120
266	771	2116
267	773	2113
268	776	2109
269	778	2105
270	781	2101
271	785	2101
272	787	2097
273	790	2094
274	792	2090
275	795	2086
276	798	2083
277	801	2080
278	803	2077
279	806	2074
280	809	2070
281	811	2066
282	814	2064
283	817	2060
284	820	2057
285	822	2053
286	825	2049
287	827	2045
288	830	2042
289	832	2038
290	835	2035
291	838	2033
292	841	2030
293	843	2026
294	846	2023
295	849	2019
296	852	2017
297	855	2016
298	858	2012
299	861	2009
300	863	2005
301	866	2002
302	869	1999
303	873	2000
304	877	1999
305	880	1997
306	884	1996
307	888	1996
308	891	1994
309	894	1990
310	897	1987
311	899	1983
312	902	1981
313	905	1977
314	909	1977
315	912	1974
316	914	1971
317	918	1969
318	921	1968
319	924	1965
320	927	1961
321	929	1958
322	934	1958
323	936	1954
324	939	1950
325	942	1947
326	944	1944
327	947	1940
328	949	1937
329	952	1934
330	955	1930
331	957	1927
332	960	1924
333	964	1922
334	966	1918
335	969	1915
336	972	1913
337	975	1909
338	977	1906
339	981	1904
340	985	1904
341	989	1904
342	992	1901
343	995	1897
344	997	1894
345	1000	1891
346	1003	1889
347	1006	1885
348	1009	1882
349	1012	1879
350	1014	1876
351	1018	1874
352	1021	1872
353	1024	1868
354	1027	1866
355	1029	1862
356	1032	1859
357	1034	1855
358	1037	1852
359	1040	1849
360	1042	1846
361	1045	1842
362	1048	1839
363	1050	1836
364	1054	1833
365	1056	1830
366	1059	1827
367	1062	1823
368	1064	1820
369	1067	1817
370	1070	1815
371	1073	1811
372	1075	1808
373	1078	1805
374	1081	1802
375	1084	1799
376	1086	1796
377	1089	1793
378	1092	1789
379	1094	1786
380	1097	1783
381	1100	1780
382	1103	1777
383	1105	1774
384	1108	1771
385	1111	1768
386	1115	1767
387	1119	1765
388	1121	1762
389	1124	1758
390	1127	1755
391	1130	1753
392	1133	1750
393	1136	1747
394	1138	1743
395	1140	1740
396	1144	1738
397	1147	1736
398	1151	1734
399	1154	1731
400	1156	1728
401	1159	1724
402	1162	1721
403	1164	1718
404	1168	1716
405	1170	1712
406	1173	1709
407	1176	1706
408	1178	1703
409	1181	1700
410	1184	1697
411	1187	1694
412	1190	1691
413	1192	1688
414	1196	1686
415	1199	1683
416	1201	1680
417	1204	1677
418	1207	1673
419	1211	1672
420	1214	1669
421	1216	1666
422	1219	1663
423	1222	1660
424	1224	1656
425	1228	1655
426	1231	1652
427	1233	1648
428	1236	1645
429	1238	1641
430	1241	1638
431	1244	1635
432	1246	1632
433	1249	1629
434	1252	1627
435	1255	1624
436	1258	1620
437	1260	1617
438	1263	1614
439	1266	1611
440	1268	1608
441	1271	1605
442	1274	1602
443	1277	1599
444	1279	1596
445	1282	1593
446	1285	1590
447	1288	1587
448	1291	1584
449	1293	1581
450	1296	1578
451	1299	1575
452	1301	1571
453	1304	1568
454	1307	1566
455	1310	1563
456	1313	1560
457	1316	1557
458	1318	1554
459	1321	1551
460	1324	1548
461	1326	1545
462	1329	1541
463	1332	1539
464	1334	1535
465	1337	1532
466	1340	1529
467	1342	1526
468	1346	1524
469	1348	1521
470	1351	1517
471	1354	1515
472	1357	1512
473	1360	1509
474	1363	1506
475	1365	1503
476	1368	1500
477	1371	1497
478	1374	1494
479	1376	1491
480	1379	1488
481	1382	1485
482	1384	1482
483	1386	1478
484	1389	1475
485	1391	1471
486	1393	1468
487	1396	1464
488	1398	1461
489	1401	1458
490	1404	1456
491	1407	1452
492	1409	1449
493	1411	1446
494	1414	1442
495	1416	1439
496	1418	1435
497	1420	1432
498	1423	1429
499	1425	1425
500	1428	1422
501	1430	1419
502	1432	1415
503	1434	1412
504	1437	1408
505	1440	1405
506	1442	1402
507	1444	1399
508	1447	1396
509	1449	1392
510	1451	1389
511	1453	1385
512	1457	1383
513	1459	1380
514	1461	1376
515	1463	1373
516	1466	1369
517	1468	1366
518	1470	1363
519	1473	1360
520	1476	1357
521	1479	1354
522	1481	1350
523	1483	1347
524	1485	1344
525	1488	1341
526	1490	1337
527	1492	1334
528	1494	1331
529	1497	1327
530	1499	1324
531	1501	1321
532	1504	1318
533	1507	1315
534	1509	1312
535	1512	1309
536	1514	1305
537	1516	1302
538	1519	1299
539	1521	1295
540	1523	1292
541	1525	1289
542	1528	1286
543	1530	1282
544	1532	1279
545	1534	1276
546	1538	1273
547	1541	1271
548	1543	1267
549	1545	1264
550	1547	1261
551	1549	1257
552	1551	1254
553	1554	1251
554	1557	1248
555	1559	1245
556	1561	1242
557	1564	1239
558	1566	1235
559	1568	1232
560	1571	1229
561	1573	1226
562	1577	1224
563	1579	1221
564	1581	1217
565	1584	1214
566	1586	1211
567	1589	1208
568	1591	1205
569	1594	1202
570	1596	1199
571	1598	1196
572	1600	1192
573	1603	1189
574	1606	1187
575	1608	1183
576	1610	1180
577	1612	1177
578	1615	1174
579	1617	1171
580	1619	1168
581	1622	1165
582	1624	1162
583	1626	1158
584	1629	1156
585	1632	1153
586	1634	1150
587	1637	1147
588	1639	1143
589	1641	1140
590	1644	1138
591	1646	1134
592	1648	1131
