Ss,condtn,at_sec,traffic_density,los_freq,los_dur_over5min,cum_los_dur,query,ready_latency,ready_latency_adj,query_latency,response_index,ready_timed_out,query_timed_out,stimuli,response_text,sa_correct,wl_rating,interbeat_interval,condtn_num,rx,ry,rz,eyeblink,negative,neutral,positive
1,baseline,0,1,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1,baseline,5,1,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,NA,1,0,0,0,0,0,0,0
1,baseline,10,1,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,585,1,0.262433333,0.230591667,-0.039241667,0.25425,0.8,0.1,0.1
1,baseline,15,1,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,871,1,0.248066667,0.146753333,-0.020133333,0.5318,0.285714286,0.428571429,0.285714286
1,baseline,20,2,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,894,1,0.24792,0.179926667,-0.06644,0.087133333,0.90625,0.09375,0
1,baseline,25,2,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,953,1,0.299366667,0.160546667,-0.053866667,0.549066667,0.833333333,0.166666667,0
1,baseline,30,2,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,792,1,0.302933333,0.35618,-0.193333333,0.412266667,0,0,0
1,baseline,35,2,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,789,1,0.377386667,0.464686667,-0.313606667,0.3894,0,0,0
1,baseline,40,2,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,753,1,0.231273333,0.24568,-0.123813333,0.428466667,0.818181818,0.090909091,0.090909091
1,baseline,45,2,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,894,1,0.106973333,0.079973333,-0.029626667,0.3018,0.533333333,0.2,0.266666667
1,baseline,50,2,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,906,1,0.25276,0.039693333,0.095546667,0.6784,0.613445378,0.18487395,0.201680672
1,baseline,55,2,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,820,1,0.222286667,0.104993333,0.000873333,0.599266667,0.718309859,0.281690141,0
1,baseline,60,2,0,0,0,WL,2.07,2.07,1.47,1,0,0,Rate your workload,1,NA,1,824,1,0.267346667,-0.147913333,0.102326667,0.0604,0.75,0,0.25
