u,v,w,p,q,r,p_dot,q_dot,r_dot,lat,lon,alt,aileron,elevator,rudder
411.79,-0.15461,91.619,-0.02114,-0.020818,0.0028594,-1.36E-18,2.52E-16,-2.59E-18,37.826,-101.2,40000,0.1267,-2.1845,-0.18883
411.79,-0.15474,91.619,-0.02114,-0.020818,0.0028594,2.92E-07,-2.08E-08,-1.19E-07,37.826,-101.2,40000,0.1267,-2.1845,-0.18883
411.79,-0.15513,91.619,-0.02114,-0.020818,0.0028594,1.17E-06,-8.28E-08,-4.74E-07,37.826,-101.2,39999,0.1267,-2.1845,-0.18883
411.79,-0.15578,91.619,-0.02114,-0.020818,0.0028594,2.62E-06,-1.85E-07,-1.07E-06,37.826,-101.2,39999,0.1267,-2.1845,-0.18883
411.79,-0.15668,91.62,-0.02114,-0.020818,0.0028594,4.65E-06,-3.28E-07,-1.89E-06,37.826,-101.2,39999,0.1267,-2.1845,-0.18883
411.79,-0.15785,91.62,-0.021139,-0.020818,0.0028593,7.26E-06,-5.09E-07,-2.95E-06,37.826,-101.2,39998,0.1267,-2.1845,-0.18883
411.79,-0.15928,91.62,-0.021139,-0.020818,0.0028593,1.04E-05,-7.30E-07,-4.24E-06,37.826,-101.2,39998,0.1267,-2.1845,-0.18883
411.8,-0.16096,91.621,-0.021139,-0.020818,0.0028592,1.42E-05,-9.88E-07,-5.76E-06,37.826,-101.2,39998,0.1267,-2.1845,-0.18883
411.8,-0.1629,91.621,-0.021139,-0.020818,0.002859,1.85E-05,-1.28E-06,-7.51E-06,37.826,-101.2,39997,0.1267,-2.1845,-0.18883
411.8,-0.1651,91.622,-0.021138,-0.020818,0.0028589,2.34E-05,-1.62E-06,-9.49E-06,37.826,-101.2,39997,0.1267,-2.1845,-0.18883
411.8,-0.16755,91.622,-0.021138,-0.020818,0.0028586,2.88E-05,-1.98E-06,-1.17E-05,37.826,-101.2,39996,0.1267,-2.1845,-0.18883
411.81,-0.17026,91.623,-0.021137,-0.020818,0.0028584,3.48E-05,-2.39E-06,-1.41E-05,37.826,-101.2,39996,0.1267,-2.1845,-0.18883
411.81,-0.17322,91.624,-0.021136,-0.020818,0.0028581,4.13E-05,-2.83E-06,-1.68E-05,37.826,-101.2,39996,0.1267,-2.1845,-0.18883
411.81,-0.17644,91.625,-0.021135,-0.020818,0.0028577,4.84E-05,-3.30E-06,-1.97E-05,37.826,-101.2,39995,0.1267,-2.1845,-0.18883
411.82,-0.17991,91.626,-0.021134,-0.020818,0.0028573,5.60E-05,-3.80E-06,-2.28E-05,37.826,-101.2,39995,0.1267,-2.1845,-0.18883
411.82,-0.18363,91.627,-0.021133,-0.020818,0.0028568,6.41E-05,-4.34E-06,-2.61E-05,37.826,-101.2,39994,0.1267,-2.1845,-0.18883
411.82,-0.18761,91.628,-0.021132,-0.020818,0.0028562,7.28E-05,-4.91E-06,-2.96E-05,37.826,-101.2,39994,0.1267,-2.1845,-0.18883
411.83,-0.19183,91.629,-0.02113,-0.020818,0.0028556,8.20E-05,-5.56E-06,-3.34E-05,37.826,-101.2,39994,0.1267,-2.1845,-0.18883
411.83,-0.1963,91.63,-0.021129,-0.020818,0.0028549,9.17E-05,-6.33E-06,-3.73E-05,37.826,-101.2,39993,0.1267,-2.1845,-0.18883
411.84,-0.20102,91.631,-0.021127,-0.020818,0.0028541,0.00010197,-7.23E-06,-4.15E-05,37.826,-101.2,39993,0.1267,-2.1845,-0.18883
411.84,-0.20598,91.632,-0.021124,-0.020819,0.0028532,0.00011273,-8.25E-06,-4.59E-05,37.826,-101.2,39992,0.1267,-2.1845,-0.18883
411.85,-0.21119,91.633,-0.021122,-0.020819,0.0028523,0.000124,-9.39E-06,-5.05E-05,37.826,-101.2,39992,0.1267,-2.1845,-0.18883
411.85,-0.21664,91.635,-0.02112,-0.020819,0.0028512,0.00013577,-1.07E-05,-5.53E-05,37.826,-101.2,39992,0.1267,-2.1845,-0.18883
411.86,-0.22233,91.636,-0.021117,-0.020819,0.0028501,0.00014804,-1.20E-05,-6.03E-05,37.826,-101.2,39991,0.1267,-2.1845,-0.18883
411.87,-0.22827,91.638,-0.021114,-0.020819,0.0028488,0.0001608,-1.35E-05,-6.55E-05,37.826,-101.2,39991,0.1267,-2.1845,-0.18883
411.87,-0.23444,91.639,-0.02111,-0.02082,0.0028475,0.00017405,-1.52E-05,-7.09E-05,37.826,-101.2,39990,0.1267,-2.1845,-0.18883
411.87,-0.23444,91.639,-0.00036844,-0.00036337,4.97E-05,-0.0010738,-0.0020834,0.00085463,37.826,-101.2,39990,0.1267,-2.3779,-0.18883
411.84,-0.18002,91.801,-0.00039108,-0.00040551,6.73E-05,-0.0011892,-0.0021298,0.00090178,37.826,-101.2,39990,0.1267,-2.3779,-0.18883
411.81,-0.12584,91.961,-0.000416,-0.00044856,8.58E-05,-0.0013024,-0.0021755,0.00094857,37.826,-101.2,39989,0.1267,-2.3779,-0.18883
411.78,-0.071922,92.121,-0.00044316,-0.00049252,0.0001052,-0.0014133,-0.0022206,0.00099499,37.826,-101.2,39989,0.1267,-2.3779,-0.18883
411.75,-0.018282,92.279,-0.00047252,-0.00053738,0.00012556,-0.001522,-0.0022651,0.001041,37.826,-101.2,39989,0.1267,-2.3779,-0.18883
411.72,0.035073,92.436,-0.00050403,-0.00058315,0.00014684,-0.0016285,-0.0023134,0.0010867,37.826,-101.2,39988,0.1267,-2.3779,-0.18883
411.69,0.08813,92.592,-0.00053764,-0.00062992,0.00016903,-0.0017327,-0.0023634,0.001132,37.826,-101.2,39988,0.1267,-2.3779,-0.18883
